NrPunct rauri prezenta in.dr	in.st			 
6	CasinuMic	1	60	15
7	CasinuMic	1	50	75
8	CasinuMic	1	40	85
9	CasinuMic	1	50	80
10	CasinuMic	1	70	45
11	FundulParaului	1	0	25
12	FundulParaului	1	30	30
13	FundulParaului	1	30	30
14	FundulParaului	1	25	25
15	FundulParaului	1	35	35
16	Martanus	1	85	50
17	Martanus	1	30	40
18	Martanus	1	45	50
19	Martanus	1	"NA"	"NA"
20	Barsa	1	60	2
21	Barsa	1	0	100
22	Barsa	1	5	60
23	PanicelRasnov	1	35	35
24	PanicelRasnov	1	70	"NA"
26	PanicelRasnov	1	50	30
27	PanicelRasnov	1	"NA"	"NA"
28	FundulParaului	0	30	25
29	CasinuMic	0	85	70.5
30	PanicelRasnov	0	40	40
31	RaulNegruLunga	0	80	84
32	Martanus	0	45	50
