NrPunct rauri prezenta curs.meandr	meandr.av	meandr.am			 
6	CasinuMic	1	1	1.05	1
7	CasinuMic	1	1	1.1	1.15
8	CasinuMic	1	1	0.1	0.15
9	CasinuMic	1	1	1.2	1.1
10	CasinuMic	1	1	1.1	1.25
11	FundulParaului	1	0	1	1
12	FundulParaului	1	0	1	1
13	FundulParaului	1	0	1	1
14	FundulParaului	1	0	1	1
15	FundulParaului	1	1	1.25	1
16	Martanus	1	1	1.1	1.15
17	Martanus	1	1	1.1	1.15
18	Martanus	1	1	1.1	1.15
19	Martanus	1	1	1.2	1.15
20	Barsa	1	0	1.1	1.1
21	Barsa	1	0	1	1
22	Barsa	1	1	1.05	1.07
23	PanicelRasnov	1	0	1	1
24	PanicelRasnov	1	0	1	1
26	PanicelRasnov	1	0	1	1
27	PanicelRasnov	1	0	1	1
28	FundulParaului	0	0	1	1
29	CasinuMic	0	1	1.1	1.15
30	PanicelRasnov	0	0	1	1
31	RaulNegruLunga	0	1	1.2	1.23
32	Martanus	0	1	1.1	1.1
