NrPunct rauri prezenta s.hrana.av	s.hrana.am			 
6	CasinuMic	1	100	100
7	CasinuMic	1	100	100
8	CasinuMic	1	100	100
9	CasinuMic	1	100	100
10	CasinuMic	1	100	100
11	FundulParaului	1	100	100
12	FundulParaului	1	100	100
13	FundulParaului	1	100	100
14	FundulParaului	1	100	100
15	FundulParaului	1	40	40
16	Martanus	1	55	35
17	Martanus	1	45	40
18	Martanus	1	35	30
19	Martanus	1	25	45
20	Barsa	1	52.5	52.5
21	Barsa	1	55	47.5
22	Barsa	1	62.5	70
23	PanicelRasnov	1	80	75
24	PanicelRasnov	1	100	100
26	PanicelRasnov	1	55	40
27	PanicelRasnov	1	10	65
28	FundulParaului	0	100	100
29	CasinuMic	0	100	100
30	PanicelRasnov	0	77.5	75
31	RaulNegruLunga	0	77.5	77.5
32	Martanus	0	82.5	82.5
